ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,AGE_SEG,proba_logreg,pred_logreg,proba_xgb,pred_xgb
06436U96WN,33,F,703621,269,2,0.644295132,1,0.5008984,1
00974O72DZ,59,F,742484,125,1,0.527824143,1,0.39486793,0
09160K49TY,52,F,1920738,92,1,0.959115628,1,0.3137721,0
75377M96JT,43,F,1406605,422,3,0.979558529,1,0.9067236,1
50391O52JL,27,F,910269,27,1,0.711420313,1,0.5508183,1
75750M01TD,40,M,1214651,471,3,0.974095484,1,0.9159347,1
54602F44RW,62,F,1673206,511,4,0.991249874,1,0.7687184,1
91724K12PZ,55,M,529060,674,4,0.894630286,1,0.9601268,1
38941M59JI,56,F,1705657,91,1,0.928789943,1,0.30680227,0
17962B28AZ,62,F,1593162,88,1,0.90169182,1,0.3168179,0
05397B07CK,54,F,1437312,283,2,0.899987279,1,0.3926818,0
86848B08CQ,62,F,1611444,365,3,0.984717256,1,0.84048223,1
22906W78AL,60,M,1283300,212,2,0.875042436,1,0.3793471,0
45389F82KX,38,F,1465158,169,1,0.897609909,1,0.35488656,0
68241U65JO,58,M,1821776,449,3,0.992941295,1,0.7862656,1
43891X14RC,59,M,1846298,210,2,0.966872124,1,0.3688033,0
34587D00DA,58,M,1144551,174,1,0.792455806,1,0.34317377,0
88616I11UH,36,F,1024701,91,1,0.747686872,1,0.33949128,0
49122J54NF,29,M,979350,387,3,0.959385168,1,0.93134916,1
61385H03VO,50,M,1661522,219,2,0.953147453,1,0.5157269,1
58936R14SF,65,F,802717,253,2,0.616411593,1,0.33011448,0
86220V54VN,49,F,1478918,325,2,0.913675425,1,0.43210313,0
63676E09UO,25,F,1029303,689,4,0.971726173,1,0.8733012,1
75890J70NO,64,F,1868972,325,2,0.95958738,1,0.3539714,0
68606C11GV,56,M,1744071,196,1,0.946371886,1,0.37780893,0
56034R95VA,48,M,1608586,275,2,0.947979503,1,0.6104954,1
68007O74VG,53,M,626963,426,3,0.880719427,1,0.9430426,1
72851J39QG,35,M,793369,385,3,0.932470246,1,0.9288631,1
67768Z35EO,60,F,493015,276,2,0.438594136,0,0.44403622,0
82032Y17OQ,53,M,921829,362,3,0.939392166,1,0.90666795,1
25932M56LL,58,F,1071450,329,2,0.773971534,1,0.34961647,0
77296E81ZM,48,M,1677550,131,1,0.942432264,1,0.57073313,1
00749K03FQ,46,M,1421375,941,4,0.988868111,1,0.93555737,1
92419C68FB,65,F,665345,3,1,0.46213371,0,0.3364739,0
21589V78WG,56,M,535036,322,2,0.527629469,1,0.4242407,0
75360O80DW,39,M,1579580,292,2,0.949478252,1,0.6541931,1
21179R01JX,47,M,1318882,234,2,0.89895413,1,0.5861742,1
78827Q35LL,49,F,826528,441,3,0.912260036,1,0.89506316,1
93058B29OA,33,M,1250052,388,3,0.978050627,1,0.92616355,1
57288I36BN,28,F,718407,35,1,0.600669679,1,0.4074051,0
24427C44HL,60,M,1099822,152,1,0.769279492,1,0.3602378,0
57769A43WJ,50,M,1444567,478,3,0.983536535,1,0.8991605,1
55244P21JL,45,F,1383743,476,3,0.977881707,1,0.9184157,1
10878C69QP,60,F,1274520,273,2,0.847936827,1,0.35544196,0
00100T87PV,50,F,1555386,509,4,0.98976793,1,0.82578874,1
10657V33HY,36,M,1779657,908,4,0.995942274,1,0.92462903,1
35568Z72YA,46,F,1568521,364,3,0.985827062,1,0.9237315,1
76439P77YY,28,M,1220202,247,2,0.896278248,1,0.66705006,1
05814Y15VO,37,F,843116,395,3,0.925642986,1,0.8984567,1
96427W84TS,29,F,1011093,17,1,0.756354003,1,0.55351585,1
95829F20IU,54,F,1751467,282,2,0.951989795,1,0.3926818,0
78491J25YN,50,F,1481056,479,3,0.981586181,1,0.8925796,1
08349R64SN,51,F,1023285,248,2,0.766821135,1,0.4356318,0
77707I89CB,42,F,1008314,397,3,0.946819514,1,0.9104427,1
01439E69TI,37,F,946545,845,4,0.960481502,1,0.89047384,1
37023S20ZM,46,F,1362399,286,2,0.890992381,1,0.50004095,1
08736E08DD,30,M,1365515,515,4,0.989341993,1,0.93657833,1
83877U15TB,42,F,1157465,437,3,0.962834894,1,0.9104427,1
65904G65YK,34,M,768129,300,2,0.721208318,1,0.57818246,1
61214G80ZN,55,F,879113,119,1,0.622725005,1,0.34122458,0
85691K09NH,40,F,897965,163,1,0.672931508,1,0.3044897,0
84131A41RV,47,M,1185438,110,1,0.827703091,1,0.52896446,1
34686I34DX,50,F,893051,207,2,0.705671983,1,0.4369907,0
49913C08MC,25,M,1477919,363,3,0.988593599,1,0.9300504,1
45447H02JK,28,F,645555,997,4,0.92672765,1,0.8684091,1
96590B86BM,60,M,616767,864,4,0.909031151,1,0.9628115,1
11291R80DZ,41,F,1378658,117,1,0.872007145,1,0.29138055,0
37189N42UN,29,M,1493909,127,1,0.927755896,1,0.69207776,1
70335V50SH,55,F,1080001,43,1,0.732302665,1,0.34122458,0
05274S84AQ,46,F,1039901,363,3,0.948472568,1,0.9237315,1
06133O40VE,60,M,1779440,306,2,0.960608747,1,0.3793471,0
57289T50EW,61,F,1878164,491,3,0.992216413,1,0.8363988,1
73937S12OW,52,F,847439,301,2,0.676271604,1,0.33311653,0
89927G30NR,56,F,1234943,632,4,0.975799868,1,0.7652249,1
31470X06BS,54,M,670864,648,4,0.924636813,1,0.9453595,1
57578P16IZ,35,M,638483,57,1,0.582310052,1,0.6219502,1
98708I08VX,47,M,1727612,406,3,0.992127045,1,0.9281853,1
36958P04EX,54,F,907788,280,2,0.703788,1,0.3926818,0
53758C39CR,48,F,1082487,866,4,0.967882949,1,0.8532582,1
99157G28PR,62,F,1170677,74,1,0.760181118,1,0.3168179,0
87076V59OJ,25,M,620180,312,2,0.664218657,1,0.66195863,1
76764B06UP,47,M,1761085,85,1,0.953341137,1,0.52896446,1
27675L93OS,63,M,1661463,25,1,0.929701434,1,0.3431379,0
69692I70LT,35,M,699810,200,2,0.68289783,1,0.5137973,1
46154W39MF,59,M,1614879,223,2,0.94222585,1,0.3688033,0
52381S90GM,52,M,539135,157,1,0.471636987,0,0.43746504,0
10457N39YE,62,F,565738,230,2,0.478254017,0,0.44013995,0
40731K15FZ,46,F,1182844,226,2,0.838804734,1,0.50004095,1
06173N47SN,38,M,1491178,203,2,0.938353974,1,0.70177805,1
18532K46RW,62,M,1389961,588,4,0.985561072,1,0.80231035,1
18976W76SJ,29,F,1118045,217,2,0.843220947,1,0.65339136,1
97566A37BR,47,F,1241037,148,1,0.818103602,1,0.3014064,0
68707E12OX,34,F,1177567,286,2,0.855008584,1,0.6123354,1
30931S34VN,64,F,1497818,67,1,0.875809347,1,0.31354538,0
69546Q66TX,34,M,1442841,872,4,0.990797889,1,0.9228742,1
59999L00PL,26,F,1149955,588,4,0.97873154,1,0.8992482,1
05678X36FB,50,M,1729710,440,3,0.991894768,1,0.8991605,1
53776P44MZ,50,F,842591,970,4,0.941550247,1,0.82578874,1
42983W11JW,32,M,728377,273,2,0.705483842,1,0.47378635,0
20545D80RB,61,M,772565,696,4,0.935964764,1,0.9030862,1
11046E28HA,54,F,1550310,111,1,0.900306028,1,0.34608552,0
93609N63NP,60,F,1993500,12,1,0.962529812,1,0.315702,0
80643O81AC,31,F,989465,181,1,0.741799762,1,0.54083115,1
00393E86UP,41,F,1532052,89,1,0.909256337,1,0.29138055,0
46408E72XM,45,M,1847655,524,4,0.996205166,1,0.9338144,1
27402X64HA,53,M,1850319,282,2,0.969319786,1,0.44554898,0
05626Y20CY,55,F,396146,351,2,0.393448901,0,0.5018086,1
93004L90PZ,63,F,965953,962,4,0.949775551,1,0.76284665,1
98443X71XZ,52,M,1295563,473,3,0.975689318,1,0.8746941,1
25775Y84LZ,29,M,1061035,806,4,0.977610765,1,0.91814613,1
35718W19QL,41,F,1377534,310,2,0.899946019,1,0.50517076,1
29231R10EV,33,M,665540,280,2,0.669072818,1,0.5292025,1
48748J87TG,37,F,869555,254,2,0.724170053,1,0.5501158,1
11807D05SY,64,F,478022,740,4,0.845680198,1,0.89255923,1
21905X90RO,53,F,942670,410,3,0.930053639,1,0.9137272,1
10580L29VV,53,F,1589847,481,3,0.98544382,1,0.9137272,1
81228D18BO,48,F,1286785,838,4,0.98053549,1,0.8532582,1
34057Z27MM,47,M,1126751,496,3,0.96528774,1,0.9281853,1
12167K01BK,54,M,846810,347,2,0.714585042,1,0.41832688,0
06265P28JU,44,F,1323464,784,4,0.983007827,1,0.8892629,1
82049Z51KX,46,M,1831145,447,3,0.993990094,1,0.92643535,1
83239R16ZW,47,M,825272,331,2,0.719966374,1,0.5861742,1
49558V29YX,53,F,1080442,721,4,0.965872781,1,0.85358864,1
40464Z35MR,43,F,974609,315,2,0.761380887,1,0.471169,0
53644Q78VY,45,F,964490,376,3,0.939038783,1,0.9184157,1
69142F16CA,36,M,1551754,475,3,0.989238666,1,0.9332582,1
60492C50GZ,65,F,1723412,490,3,0.988021937,1,0.77846384,1
71614Z31OM,41,F,926999,405,3,0.936222313,1,0.91841966,1
03416B32RP,64,M,1779203,262,2,0.958802673,1,0.40032318,0
11077F22QA,50,M,1718761,609,4,0.994450692,1,0.8777424,1
08303G30SE,29,M,1488480,420,3,0.988370959,1,0.93134916,1
44241A27AO,51,F,892474,226,2,0.702968883,1,0.4356318,0
71374A23QL,34,M,667843,230,2,0.667801304,1,0.54358906,1
45803L99EN,36,F,1331330,5,1,0.864998746,1,0.33949128,0
27196C53UI,51,M,1930536,96,1,0.96761506,1,0.39248937,0
48370R51HV,63,M,590030,48,1,0.471930175,0,0.5201112,1
70649O76MN,63,M,1835340,718,4,0.995188017,1,0.7794336,1
82256A49ZW,43,F,1222677,120,1,0.818095053,1,0.25879565,0
38455W93II,43,M,1230491,482,3,0.974227602,1,0.9127086,1
56315E12TT,65,M,1456124,253,2,0.91078705,1,0.38677856,0
05941J55YU,59,M,1881539,132,1,0.960139359,1,0.34809762,0
25776I29OU,28,F,766852,30,1,0.629503837,1,0.5303171,1
34172K69PZ,57,F,1666075,146,1,0.921084657,1,0.29169676,0
72874V43ML,27,F,802199,148,1,0.652605247,1,0.5508183,1
97873N72SX,29,M,1132280,239,2,0.872572504,1,0.6671801,1
26516G80GC,51,F,712229,206,2,0.600652319,1,0.5300157,1
40274P55MR,29,M,806350,256,2,0.751051503,1,0.6671801,1
54543P85JE,33,F,534381,479,3,0.857086486,1,0.90662944,1
19722J93DS,41,F,1385414,603,4,0.985912042,1,0.8972571,1
37540D78FC,42,M,1028198,223,2,0.819397481,1,0.5709699,1
13796B47JK,59,F,1984906,409,3,0.994173084,1,0.7986896,1
29917A71GR,63,F,1888073,277,2,0.961835092,1,0.34426847,0
59447S66XJ,25,M,699550,407,3,0.924464751,1,0.91611904,1
64886B88KU,41,M,874875,350,2,0.757351373,1,0.59448355,1
46269H09RK,41,F,1319138,297,2,0.88592406,1,0.50517076,1
45336V08BD,62,M,678474,495,3,0.883401565,1,0.8908025,1
97983J80LU,34,M,1471429,207,2,0.938148267,1,0.6356012,1
51286U10JL,38,F,954141,65,1,0.708024077,1,0.35488656,0
43022H92ZM,25,M,753347,966,4,0.954732979,1,0.87549335,1
58346H15ZX,61,M,1295814,365,3,0.973119343,1,0.80843455,1
23166I63YJ,54,F,476314,437,3,0.802685209,1,0.842312,1
52462Y27ZY,35,F,971872,193,1,0.724118662,1,0.46559957,0
70920O55KX,54,M,571604,186,1,0.486259321,0,0.48752427,0
98709G20PI,26,F,1085575,48,1,0.794895652,1,0.52374387,1
55930E81CD,39,M,1653474,22,1,0.944732339,1,0.5786984,1
36210A90KQ,64,F,1766409,147,1,0.932692298,1,0.31354538,0
62781M09BY,26,M,850135,457,3,0.946434046,1,0.92688996,1
77048U79FJ,41,F,1213824,389,3,0.967946666,1,0.91841966,1
81935K44NP,33,M,1005254,358,2,0.826113511,1,0.62740403,1
16888Q61UV,62,F,439156,512,4,0.835679884,1,0.8948616,1
65928O21SR,49,F,1184486,37,1,0.792206257,1,0.25399715,0
20018U08XQ,29,M,1358450,350,2,0.923627437,1,0.6671801,1
56924D67EA,41,F,1397190,434,3,0.979546117,1,0.91841966,1
29564G41BG,50,M,1847675,527,4,0.995981094,1,0.8777424,1
71896F80PA,26,F,557754,322,2,0.57637791,1,0.6585528,1
44742A00BG,59,F,598371,167,1,0.437574157,0,0.47270453,0
11658J08WM,64,M,669219,190,1,0.518796966,1,0.38876125,0
55452O90YS,26,M,1042011,230,2,0.84960041,1,0.7214065,1
74294H58DY,63,F,750529,164,1,0.521369046,1,0.38621,0
15977K59ZH,42,M,1655520,239,2,0.956474243,1,0.5709699,1
95668C24JX,65,M,574216,402,3,0.849190052,1,0.8923208,1
07424U03NQ,65,F,904445,132,1,0.610531889,1,0.31021646,0
01981T29OJ,46,F,881425,500,3,0.925130815,1,0.9237315,1
29186W84KX,52,M,414489,471,3,0.814035174,1,0.7359883,1
92243B76RF,28,F,934817,198,1,0.721617308,1,0.5398789,1
28205S80HO,43,M,1480846,1019,4,0.990722986,1,0.90625364,1
37818Z75NC,42,F,1208115,126,1,0.814331039,1,0.26218042,0
67259S33ZM,37,F,1023200,305,2,0.794397319,1,0.5501158,1
27953J71OC,36,F,1026002,82,1,0.748303608,1,0.33949128,0
58295S87JC,41,F,1527470,995,4,0.990102227,1,0.8972571,1
99531J37ES,37,M,1989666,336,2,0.981798418,1,0.63881755,1
30996D83MP,39,M,925909,13,1,0.732821622,1,0.5786984,1
85320O04OG,38,F,1406592,482,3,0.980680806,1,0.919882,1
79310U08QK,54,M,623865,407,3,0.878674841,1,0.9450052,1
74124A93UN,46,M,1345409,240,2,0.905842636,1,0.5926694,1
93094V67KV,46,M,1502822,226,2,0.934610649,1,0.5926694,1
38080K58AT,51,M,1213751,353,2,0.867053243,1,0.45829472,0
53708H11IZ,54,M,1803042,274,2,0.965194442,1,0.41832688,0
44884S97YQ,62,F,813357,456,3,0.89646495,1,0.84048223,1
51952O29TX,35,F,1191707,478,3,0.968364471,1,0.9070538,1
27173V28DE,25,F,539264,66,1,0.498080592,0,0.5162367,1
66119P11GE,49,F,986341,295,2,0.75409931,1,0.43210313,0
44344D57JR,33,F,837035,811,4,0.950798519,1,0.893512,1
58870U01GS,52,M,1022277,398,3,0.952797292,1,0.8746941,1
58203M14GN,58,M,447108,271,2,0.466660982,0,0.47266084,0
21007I46PT,43,M,811134,407,3,0.929413482,1,0.9127086,1
71291I38KL,57,M,941447,482,3,0.939575301,1,0.7931776,1
72046A86KL,35,M,1252211,220,2,0.896259304,1,0.6544545,1
16057F65RU,41,F,851550,113,1,0.644103074,1,0.29138055,0
35809Y80PB,64,M,597441,362,3,0.857929585,1,0.8839449,1
55596O93OM,46,F,1390038,153,1,0.868732497,1,0.29552808,0
94487E68MJ,42,M,1604954,157,1,0.935962457,1,0.5048539,1
50240H97SQ,29,F,675039,213,2,0.63836877,1,0.55763274,1
86775X83LF,36,F,1323476,392,3,0.976823794,1,0.92050356,1
53732F98DR,53,F,664211,1015,4,0.908559508,1,0.93046325,1
09162G28LV,65,M,1010576,143,1,0.715482278,1,0.32923475,0
78622I00CE,56,F,311791,719,4,0.798234549,1,0.929767,1
82980I08UK,53,F,1726881,409,3,0.989643173,1,0.9137272,1
17174V41DW,57,F,1158196,58,1,0.764935047,1,0.29169676,0
12289D49FN,58,F,1991511,23,1,0.9631756,1,0.28996062,0
93434B83IL,57,M,541753,456,3,0.850541378,1,0.8772384,1
40729A88VO,52,F,1544969,419,3,0.983916439,1,0.886927,1
70348D16MF,26,F,684257,301,2,0.651595492,1,0.6066269,1
67071A73XK,38,F,1134504,322,2,0.834798419,1,0.6193246,1
67079N76FD,43,M,1245243,277,2,0.885601667,1,0.5700277,1
95725L39QM,48,F,1016422,413,3,0.944308968,1,0.9332561,1
05756L47BT,59,M,1372898,816,4,0.98544213,1,0.8111826,1
75241A87MS,56,M,336186,234,2,0.40384962,0,0.5121379,1
21181O26VC,32,M,912852,254,2,0.792075183,1,0.62925524,1
60533M94UG,64,M,661968,719,4,0.914465597,1,0.9139802,1
59802T69NI,42,F,1361607,224,2,0.895204543,1,0.47364494,0
56116P44FZ,55,F,1452019,307,2,0.902255472,1,0.38803703,0
21607T60YT,51,M,1073391,991,4,0.972184978,1,0.84713405,1
22262Z59VY,56,F,1788574,575,4,0.993874842,1,0.7652249,1
64845Z68WC,28,F,575268,210,2,0.581493991,1,0.574649,1
39879E85CD,50,F,1132636,25,1,0.767875044,1,0.26038846,0
04964Y40ED,52,M,1355417,378,3,0.979015289,1,0.8746941,1
23585S30BQ,36,F,1016996,117,1,0.744013857,1,0.33949128,0
20658O35IW,54,M,1097261,99,1,0.780225325,1,0.41386676,0
23818S66NM,65,M,1768635,349,2,0.957270888,1,0.38677856,0
20304Y55WX,52,M,1663653,879,4,0.993483437,1,0.85489345,1
52695X06FP,31,M,794034,445,3,0.935417942,1,0.92604744,1
90504P47ZI,42,F,1083278,202,2,0.809240378,1,0.47364494,0
50188X21BJ,38,M,858685,629,4,0.959452494,1,0.9281197,1
89374N38QM,55,M,1562311,129,1,0.918713109,1,0.41802326,0
53094E23TV,44,M,1899363,204,2,0.975399384,1,0.5792184,1
18367T23PM,62,F,1995294,77,1,0.961855158,1,0.3168179,0
86828I03TM,42,F,1369008,910,4,0.985159725,1,0.863451,1
92270O55TE,37,F,1402558,425,3,0.980707008,1,0.8984567,1
12259H17TT,46,M,1784897,599,4,0.995508003,1,0.93555737,1
01977S59IP,31,M,1474209,141,1,0.922736165,1,0.6835818,1
04282A24UF,37,F,1471031,188,1,0.900001775,1,0.31369096,0
31618U63BS,38,F,1451192,319,2,0.918073239,1,0.6193246,1
01965X80EJ,36,F,1563681,450,3,0.987197926,1,0.92050356,1
91791E28KP,62,F,1729509,413,3,0.98859855,1,0.84048223,1
39057V49UH,47,M,1101548,984,4,0.975178163,1,0.92960185,1
12812O50GR,65,M,521224,143,1,0.423482615,0,0.40672264,0
36940Q53HW,54,F,502604,867,4,0.867406918,1,0.9163612,1
63182Y26YC,33,M,706015,188,1,0.628352444,1,0.56751984,1
74579G79QB,38,F,1313702,531,4,0.983737342,1,0.90045893,1
15322K02KR,31,M,1011659,403,3,0.961593103,1,0.92604744,1
62480W00YQ,33,F,1021065,428,3,0.953258061,1,0.9057135,1
59781L54AK,60,F,358670,573,4,0.809547939,1,0.89806205,1
73750A81EL,44,M,970293,214,2,0.793079646,1,0.5792184,1
70255R32PU,57,F,345919,110,1,0.296746724,0,0.46121532,0
79457O82PA,51,F,1858961,97,1,0.953087913,1,0.3156903,0
06693P06WI,44,F,899613,130,1,0.663627756,1,0.2622318,0
41871I39PL,35,M,1479440,516,4,0.991503686,1,0.92574924,1
90875D28YD,50,M,1928497,493,3,0.99506782,1,0.8991605,1
14718T21QH,27,M,1440846,413,3,0.987204925,1,0.92411464,1
34121O64WO,48,F,1195014,762,4,0.975605827,1,0.8532582,1
40730N79DC,65,F,1533308,869,4,0.987175461,1,0.7933155,1
43751D45WQ,46,F,1023755,324,2,0.777174177,1,0.50004095,1
88175F29HO,57,M,1183225,337,2,0.8493113,1,0.36907557,0
16297N25FC,55,F,1970524,470,3,0.994230422,1,0.89090914,1
60322P10RO,34,F,1198616,464,3,0.969238053,1,0.9008876,1
54579F42PN,25,F,886771,887,4,0.960024373,1,0.8733012,1
05294I79GZ,56,F,647214,186,1,0.476618833,0,0.3676759,0
33390D65GA,35,F,1023760,370,3,0.952527286,1,0.9070538,1
43061L64SS,34,F,663176,930,4,0.925021642,1,0.8776566,1
20111N92DW,34,M,843424,3,1,0.702491706,1,0.66634023,1
85709Y01XG,33,M,1383916,112,1,0.902910034,1,0.69530874,1
16841M12EL,65,F,447636,583,4,0.833850844,1,0.9008722,1
31371S85VP,56,F,998385,439,3,0.936614859,1,0.8679632,1
84565U94CH,60,F,1982479,793,4,0.996052574,1,0.79458463,1
64479A24HB,53,M,927904,471,3,0.940256183,1,0.90666795,1
28038B82FK,40,M,1285276,446,3,0.978219189,1,0.9159347,1
15537U60KN,64,F,1510406,158,1,0.879211844,1,0.31354538,0
06945L41KT,54,F,526135,100,1,0.407325541,0,0.41322124,0
90687P97DK,64,F,1229728,429,3,0.960174522,1,0.77757204,1
62262N47OM,45,M,912428,650,4,0.961518746,1,0.9338144,1
30685C54JX,44,M,1198244,471,3,0.971796906,1,0.911434,1
08879X93QZ,53,M,1968797,70,1,0.969830925,1,0.4367861,0
17956T17QP,64,M,601949,358,2,0.546534141,1,0.47955784,0
48955E90SJ,30,F,740957,373,3,0.912567627,1,0.8212869,1
21158S42FS,61,M,1143167,100,1,0.786125198,1,0.3567804,0
43189S15VO,25,F,823642,213,2,0.728717046,1,0.6395361,1
54976F15MA,38,M,1674926,425,3,0.991899366,1,0.9301537,1
51931U95VC,61,M,1258423,220,2,0.866713442,1,0.40757003,0
75069U20UX,63,M,718517,398,3,0.892277422,1,0.91296893,1
83454T85DH,31,F,1028294,850,4,0.969687885,1,0.9069462,1
80909B92WE,43,M,1618025,319,2,0.951849584,1,0.5700277,1
91972D30HJ,49,F,1106013,246,2,0.805582117,1,0.43210313,0
26122V91MO,37,F,1207471,90,1,0.822653031,1,0.31369096,0
78675V01LC,52,M,765253,393,3,0.913613027,1,0.9324702,1
89638M32YR,29,M,842765,263,2,0.767778034,1,0.6671801,1
94970D32EG,36,M,1499717,218,2,0.94088024,1,0.64566404,1
54091V36MC,33,F,722358,52,1,0.589173108,1,0.3836225,0
46158Q53FO,46,M,1109848,27,1,0.80073038,1,0.5255289,1
83100V92KQ,35,M,1133009,284,2,0.864895289,1,0.6544545,1
34121J65GN,62,F,1827310,411,3,0.991062344,1,0.84048223,1
52684B75FN,28,F,526845,849,4,0.903691961,1,0.85581213,1
48301O88OQ,34,M,731395,112,1,0.640481283,1,0.5181012,1
44789B98ZW,27,F,792299,482,3,0.924777404,1,0.9288069,1
83396U46GU,51,M,910497,216,2,0.75259652,1,0.45829472,0
53120C63ZM,54,F,483920,215,2,0.450025139,0,0.44899166,0
58224J72VN,52,F,878008,92,1,0.630168174,1,0.3137721,0
50592O45EU,28,M,818366,39,1,0.70377663,1,0.69369775,1
00599T11ZO,40,M,980023,96,1,0.756492771,1,0.54520947,1
90893I24FY,34,M,1095600,516,4,0.978242803,1,0.9228742,1
90736M13PY,58,M,1016797,382,3,0.94892314,1,0.7862656,1
31989F21YH,63,M,735839,567,4,0.928689154,1,0.88817173,1
10452O19KO,51,M,1563661,52,1,0.922334706,1,0.39248937,0
00348B44OJ,42,F,1162427,200,2,0.838096254,1,0.47364494,0
53812D36DL,57,M,1084834,374,3,0.957083283,1,0.7931776,1
23998K53CP,47,M,1047332,9,1,0.772435944,1,0.52896446,1
67521H21EU,44,F,1089882,341,2,0.808242769,1,0.48580283,0
56253I38CT,36,M,1570894,321,2,0.950086011,1,0.64566404,1
71240V37QE,46,M,1663613,968,4,0.993915714,1,0.93555737,1
35425V62BF,45,F,1496732,376,3,0.983261041,1,0.9184157,1
06208S67VZ,46,M,943400,5,1,0.725571969,1,0.5255289,1
58219C98WR,37,F,1227063,249,2,0.865800397,1,0.5501158,1
92828R52IK,64,M,1418755,675,4,0.986246846,1,0.77577764,1
21011Z38ZW,53,F,945676,251,2,0.725560543,1,0.4086525,0
21261K12DO,61,M,1417016,141,1,0.879787414,1,0.3567804,0
30995G71FW,44,M,1561224,452,3,0.988485433,1,0.911434,1
66014M51TW,62,F,636284,40,1,0.452579546,0,0.39354917,0
05208N69AT,34,F,808078,288,2,0.699563876,1,0.6123354,1
39072Y28OO,44,M,1376438,281,2,0.914118331,1,0.5792184,1
45685P68SV,27,M,817023,464,3,0.941419475,1,0.92411464,1
82101Q95TN,46,M,1137170,418,3,0.966530056,1,0.92643535,1
09297N55XW,47,M,1051477,1015,4,0.971940698,1,0.92960185,1
91086Z20DK,63,M,1970295,916,4,0.996568143,1,0.7794336,1
02660C26YI,60,F,1938150,583,4,0.995589095,1,0.79458463,1
98640O94DA,55,F,1098200,35,1,0.741178901,1,0.34122458,0
81871F64HG,29,F,758543,422,3,0.916915097,1,0.89567614,1
82612W24HE,32,M,1496038,422,3,0.988190525,1,0.9264795,1
77019K30HY,42,M,1131091,393,3,0.967513104,1,0.92048156,1
84142B97KB,57,M,1891500,534,4,0.996097511,1,0.79390055,1
71545C53TR,57,F,472145,623,4,0.854088733,1,0.899706,1
05784A69QW,40,F,1560271,671,4,0.99098239,1,0.8995051,1
23889X74JP,44,F,899140,34,1,0.66336217,1,0.2622318,0
72772Y12EL,53,M,451500,892,4,0.877282069,1,0.9524514,1
98961K46AI,35,M,629107,214,2,0.643207436,1,0.6165844,1
